2023-02-03  10:44:39	INFO 	 MAIN 	 Starting
2023-02-03  10:44:39	INFO 	 MAIN 	 Starting
2023-02-03  10:44:39	INFO 	 MAIN 	 Starting
2023-02-03  10:44:39	INFO 	 LISTENING_FUNCTION 	 Done with listening, Message was -> 
2023-02-03  10:44:39	INFO 	 MAIN 	 Starting
2023-02-03  10:44:39	INFO 	 VOICE_CALL_CALLBACK 	 in /Play_Greeting_Message
2023-02-03  10:44:39	INFO 	 VOICE_CALL_CALLBACK 	 in /Classify_Answer
2023-02-03  10:44:39	INFO 	 VOICE_CALL_CALLBACK 	 in /Classify_Answer
2023-02-03  10:44:39	INFO 	 MAIN 	 Starting
2023-02-03  10:44:39	INFO 	 VOICE_CALL_CALLBACK 	 in /Play_Explain_Message
2023-02-03  10:44:39	INFO 	 MAIN 	 Starting
